2016/06/16 05:51:20.348165:	RESET
2016/06/16 05:51:37.391750:	image 0x87001b7c0: bdev 0x8700270c0 type illb offset 0x0 len 0x79b9b
2016/06/16 05:51:37.406253:	image 0x87001b840: bdev 0x8700270c0 type ibot offset 0x79b9b len 0x79b9b
2016/06/16 05:51:37.406508:	image 0x87001b8c0: bdev 0x8700270c0 type bat1 offset 0xf3736 len 0x21dd
2016/06/16 05:51:37.406709:	image 0x87001b940: bdev 0x8700270c0 type dtre offset 0xf5913 len 0x24b56
2016/06/16 05:51:37.424111:	image 0x87001b9c0: bdev 0x8700270c0 type glyP offset 0x11a469 len 0x2e02
2016/06/16 05:51:37.425222:	image 0x87001ba40: bdev 0x8700270c0 type chg0 offset 0x11d26b len 0x3fdc
2016/06/16 05:51:37.438371:	image 0x87001bac0: bdev 0x8700270c0 type bat0 offset 0x121247 len 0xc443
2016/06/16 05:51:37.439149:	image 0x87001bb40: bdev 0x8700270c0 type batF offset 0x12d68a len 0x16245
2016/06/16 05:51:37.439733:	image 0x87001bbc0: bdev 0x8700270c0 type chg1 offset 0x1438cf len 0xa29e
2016/06/16 05:51:37.453951:	image 0x87001bc40: bdev 0x8700270c0 type logo offset 0x14db6d len 0x308f
2016/06/16 05:51:37.454522:	image 0x87001bcc0: bdev 0x8700270c0 type recm offset 0x150bfc len 0x409c4
2016/06/16 05:51:37.470183:	Display PMU found, 0x0000f375, TI-a0
2016/06/16 05:51:37.470808:	pinot_init()
2016/06/16 05:51:37.471269:	mipi_dsim_init()
2016/06/16 05:51:37.471539:	pll_config 0x300
2016/06/16 05:51:37.710160:	mipi_dsim_read_long_command: timing out
2016/06/16 05:51:37.725859:	pinot_init(): read of pinot panel id failed
2016/06/16 05:51:37.726450:	mipi_dsim_quiesce()
2016/06/16 05:51:37.741339:	Display PMU found, 0x0000f375, TI-a0
2016/06/16 05:51:37.742018:	
2016/06/16 05:51:37.742789:	
2016/06/16 05:51:37.743593:	=======================================
2016/06/16 05:51:37.745034:	::
2016/06/16 05:51:37.746057:	:: iBoot for d101, Copyright 2007-2016, Apple Inc.
2016/06/16 05:51:37.747150:	::
2016/06/16 05:51:37.758292:	::	Remote boot, Board 0xc (d101ap)/Rev 0xd
2016/06/16 05:51:37.759184:	::
2016/06/16 05:51:37.759931:	::	BUILD_TAG: iBoot-3406.1.11.1.3
2016/06/16 05:51:37.760868:	::
2016/06/16 05:51:37.761816:	::	BUILD_STYLE: DEVELOPMENT
2016/06/16 05:51:37.762690:	::
2016/06/16 05:51:37.773643:	::	USB_SERIAL_NUMBER: CPID:8010 CPRV:11 CPFM:01 SCEP:01 BDID:0C ECID:001620C230A0213A IBFL:2C
2016/06/16 05:51:37.774892:	::
2016/06/16 05:51:37.775740:	=======================================
2016/06/16 05:51:37.776516:	
2016/06/16 05:51:37.821659:	Boot Failure Count: 0	Panic Fail Count: 0
2016/06/16 05:51:37.838153:	!!!!! do_common_autoboot: auto-boot=0, boot-command=fsboot, upgrade-retry=0
2016/06/16 05:51:37.854203:	Entering recovery mode, starting command prompt
2016/06/16 05:51:38.333477:	[m] USB command: "getenv build-version"
2016/06/16 05:51:38.334282:	USB command: "getenv build-style"
2016/06/16 05:51:38.365948:	USB command: "getenv radio-error"
2016/06/16 05:51:38.400440:	USB command: "setenv auto-boot false"
2016/06/16 05:51:38.400994:	USB command: "saveenv"
2016/06/16 05:51:38.483684:	USB command: "setpicture 4"
2016/06/16 05:51:39.552434:	USB command: "bgcolor 15 192 240"
2016/06/16 05:51:39.565563:	USB command: "getenv ramdisk-size"
2016/06/16 05:51:40.735912:	USB command: "getenv ramdisk-delay"
2016/06/16 05:51:40.736406:	USB command: "ramdisk"
2016/06/16 05:51:42.335386:	loaded ramdisk at 0x814000000 of size 0x2a27000, from image at 0x800000000
2016/06/16 05:51:43.421666:	USB command: "devicetree"
2016/06/16 05:51:43.449054:	loaded device tree at 0x813f00000 of size 0x1000
2016/06/16 05:51:43.458182:	00, from image at 0x800000000
2016/06/16 05:51:45.026269:	USB command: "setenv boot-args debug=0x14e seria
2016/06/16 05:51:45.041315:	l=3 rd=md0 -progress ramrod_disable_sep_load=1"
2016/06/16 05:51:45.041534:	USB command: "bootx"
2016/06/16 05:51:45.041637:	Attempting to validate kernelcache @ 0x800000000
2016/06/16 05:51:45.677165:	Loading kernel cache at 0x810000000
2016/06/16 05:51:46.909381:	Uncompress
2016/06/16 05:51:46.926815:	ed kernel cache at 0x810000000
2016/06/16 05:51:47.472738:	gas gauge read timed out
2016/06/16 05:51:47.481756:	boot_reason=0x0
2016/06/16 05:51:47.490257:	cbtl1610_get_esn: failed! data 80 resp 88 i=0
2016/06/16 05:51:47.986379:	gas gauge read timed out
2016/06/16 05:51:48.004602:	nvme: setting namespaces-present property 7
2016/06/16 05:51:48.010038:	boot_args.commandLine = [debug=0x14e serial=3 rd=md0 -progress ramrod_disable_sep_load=1 ]
2016/06/16 05:51:48.020273:	booting kernel at 0x804ed5068
2016/06/16 05:51:48.027181:	kprintf initialized
2016/06/16 05:51:48.035254:	Serial mode specified: 00000003
2016/06/16 05:51:48.041958:	initialize_screen: b=87D600000, w=000002EE, h=00000536, r=00000BC0, d=00000000
2016/06/16 05:51:48.042221:	pe_arm_init_interrupts: args: 0xfffffff027544000
2016/06/16 05:51:48.042393:	pe_arm_map_interrupt_control
2016/06/16 05:51:48.046194:	ler: soc_phys:  0x200000000
2016/06/16 05:51:48.046270:	pe_arm_map_interrupt_controller: found interrupt-controller
2016/06/16 05:51:48.046398:	pe_arm_map_interrupt_controller: gPicBase: 0xfffffff122458000
2016/06/16 05:51:48.061513:	pe_arm_map_interrupt_controller: found timer
2016/06/16 05:51:48.061577:	pe_arm_map_interrupt_controller: gTimerBase: 0xfffffff122460000
2016/06/16 05:51:48.077578:	Darwin Kernel Version 16.0.0: Wed Jun  1 00:52:35 PDT 2016; root:xnu_development-3723.0.0.1.1~1/DEVELOPMENT_ARM64_T8010
2016/06/16 05:51:48.110171:	vm_page_bootstrap: 117055 free pages and 10561 wired pages
2016/06/16 05:51:48.110274:	zone leak detection disabled
2016/06/16 05:51:48.110327:	"vm_compressor_mode" is 32
2016/06/16 05:51:48.110382:	oslog_init: Completed
2016/06/16 05:51:48.128656:	Telemetry: Sampling all tasks once per 1 second
2016/06/16 05:51:48.128741:	Setting scheduler priority decay band limit 18
2016/06/16 05:51:48.128817:	Scheduler: Default of multiq
2016/06/16 05:51:48.128890:	multiq scheduler config: deep-drain 0, ceiling 47, depth limit 4, band limit 127, sanity check 0
2016/06/16 05:51:48.140989:	standard timeslicing quantum is 10000 us
2016/06/16 05:51:48.141053:	standard background quantum is 2500 us
2016/06/16 05:51:48.141101:	WQ[wql_init]: init linktable with max:262144 elements (8388608 bytes)
2016/06/16 05:51:48.159062:	WQ[wqp_init]: init prepost table with max:262144 elements (8388608 bytes)
2016/06/16 05:51:48.159151:	mig_table_max_displ = 1
2016/06/16 05:51:48.159210:	Limiting task physical memory footprint to 1400 MB
2016/06/16 05:51:48.174992:	Limiting task physical memory warning to 92%
2016/06/16 05:51:48.178413:	ATM subsystem is initialized
2016/06/16 05:51:48.178960:	BANK subsystem is initialized
2016/06/16 05:51:48.179818:	IPC_PTHREAD_PRIORITY subsystem is initialized
2016/06/16 05:51:48.193794:	cpm_preallocate_early called to preallocate contiguous buffer of 640 pages
2016/06/16 05:51:48.194778:	kdp_core zlib memory 0x8000
2016/06/16 05:51:48.195833:	iBoot version: iBoot-3406.1.11.1.3
2016/06/16 05:51:48.454030:	corecrypto_kext_start called
2016/06/16 05:51:48.461476:	kext_integrity_POST: AppleTEXTHash version 2
2016/06/16 05:51:48.465844:	KEXT_FIPSPost: kext_integrity_POST passed!
2016/06/16 05:51:48.479727:	KEXT_FIPSPost: AES_ECB_POST passed!
2016/06/16 05:51:48.487033:	KEXT_FIPSPost: AES_CBC_POST passed!
2016/06/16 05:51:48.488045:	KEXT_FIPSPost: AES_GCM_POST passed!
2016/06/16 05:51:48.499230:	KEXT_FIPSPost: AES_XTS_POST passed!
2016/06/16 05:51:48.510394:	KEXT_FIPSPost: TDES_CBC_POST passed!
2016/06/16 05:51:48.511925:	KEXT_FIPSPost: SHA_POST passed!
2016/06/16 05:51:48.516853:	KEXT_FIPSPost: HMAC_POST passed!
2016/06/16 05:51:49.536593:	KEXT_FIPSPost: RSA_POST passed!
2016/06/16 05:51:49.563632:	KEXT_FIPSPost: ECDSA_POST passed!
2016/06/16 05:51:49.569415:	KE
2016/06/16 05:51:49.572327:	XT_FIPSPost: ECDH_POST passed!
2016/06/16 05:51:49.573077:	KEXT_FIPSPost: DRBG_CTR_POST passed!
2016/06/16 05:51:49.573378:	KEXT_FIPSPost: DRBG_HMAC_POST passed!
2016/06/16 05:51:49.573732:	KEXT_FIPSPost: corecrypto.kext FIPS POST passed!
2016/06/16 05:51:49.736052:	AppleIPAppender::probe(IOResources)
2016/06/16 05:51:49.741976:	AppleKeyStore::probe(IOResources)
2016/06/16 05:51:49.743366:	AppleIPAppender::start(IOResources) <1>
2016/06/16 05:51:49.758428:	calling mpo_policy_init for AMFI
2016/06/16 05:51:49.767314:	Security policy loaded: Apple Mobile File Integrity (AMFI)
2016/06/16 05:51:49.777638:	calling mpo_policy_init for Sandbox
2016/06/16 05:51:49.781889:	Security policy loaded: Seatbelt sandbox policy (Sandbox)
2016/06/16 05:51:49.791786:	KTRR Begin: 0x80363c000 End: 0x805530000, setting lockdown
2016/06/16 05:51:49.792015:	No POST boot-arg set.
2016/06/16 05:51:49.792077:	Copyright (c) 1982, 1986, 1989, 1991, 1993
2016/06/16 05:51:49.792136:		The Regents of the University of California. All rights reserved.
2016/06/16 05:51:49.792185:	
2016/06/16 05:51:49.792231:	MAC Framework successfully initialized
2016/06/16 05:51:49.794468:	ulock_initialize>thread_max=1536, ull_hash_buckets=512
2016/06/16 05:51:49.806236:	using 2377 buffer headers and 2377 cluster IO buffer headers
2016/06/16 05:51:49.806370:	AppleT801xIO::start: chip-revision: B1
2016/06/16 05:51:49.822398:	AppleT801xIO::start: this: 0xfffffff002355f80, ACC virt addr: 0xfffffff01f6fc000, ACC phys addr: 0x202f40000
2016/06/16 05:51:49.840452:	AppleARMBacklight::start: Using new Backlight Architecture 1
2016/06/16 05:51:49.840553:	AppleARMBacklight::start: _calibratedMaxCurrent=20500
2016/06/16 05:51:49.841087:	AppleARMBacklight::start: _calibratedMidCurrent=5199
2016/06/16 05:51:49.852998:	AppleARMBacklight::start: mA2Nits2ndOrderCoef=-1
2016/06/16 05:51:49.853084:	AppleARMBacklight::start: mA2Nits1stOrderCoef=55
2016/06/16 05:51:49.853201:	AppleARMBacklight::start: mA2Nits0thOrderCoef=-2
2016/06/16 05:51:49.853254:	AppleARMBacklight::start: nits2mAmps2ndOrderCoef=2132
2016/06/16 05:51:49.869460:	AppleARMBacklight::start: nits2mAmps1stOrderCoef=17880
2016/06/16 05:51:49.869562:	AppleARMBacklight::start: nits2mAmps0thOrderCoef=26
2016/06/16 05:51:49.869660:	AppleARMBacklight::start: _lMaxProduct=36044800
2016/06/16 05:51:49.884936:	AppleARMBacklight::start: _lMidProduct=10158080
2016/06/16 05:51:49.885001:	AppleARMBacklight::start: _lMinProduct=180224
2016/06/16 05:51:49.885051:	AppleARMBacklight::start: Backlight calibration data 0
2016/06/16 05:51:49.905480:	AppleARMBacklight::start: No valid backlight cal data in syscfg.. Use defaults
2016/06/16 05:51:49.917191:	000020.752631 AppleBasebandD101::loadBootArguments: Loaded debug arguments 0x00000001
2016/06/16 05:51:49.965749:	AppleInterruptController::start: _aicVersion = 2 _aicBaseAddress = 0xfffffff01faa8000 _aicNumExtInts = 0x00000140 _aicNumIPIs = 0x00000004
2016/06/16 05:51:49.967545:	AppleInterruptController::start: Num Shared Timestamps == 16
2016/06/16 05:51:50.016093:	AppleS5L8960XGPIOIC::start: this: 0xfffffff00264be00, _gpioicBaseAddress: 0xfffffff01fd74000
2016/06/16 05:51:50.031063:	start:557: AppleT8010MemCacheController::start: this: 0xfffffff002359220, virt addr: 0xfffffff01fe74000, phys addr: 0x200000000
2016/06/16 05:51:50.032858:	_mccApplyTunables:905: Applying MCC Tunables for type==iPhone
2016/06/16 05:51:50.052892:	start:663: AppleT8010MemCacheController::start: finished
2016/06/16 05:51:50.059298:	AppleT8010PlatformErrorHandler::start:  this: 0xfffffff002355d40
2016/06/16 05:51:50.066727:						   AMCC virt addr: 0xfffffff01e7e8000, phys addr: 0x200000000
2016/06/16 05:51:50.068746:						   AMCX virt addr: 0xfffffff01e7f8000, phys addr: 0x200200000
2016/06/16 05:51:50.085869:						   CP   virt addr: 0xfffffff020174000, phys addr: 0x200d00000
2016/06/16 05:51:50.091307:						   DT0  virt addr: 0xfffffff01e808000, phys addr: 0x200d20000
2016/06/16 05:51:50.093322:						   CCU0 virt addr: 0xfffffff01e818000, phys addr: 0x200d90000
2016/06/16 05:51:50.105242:						   DT1  virt addr: 0xfffffff01e828000, phys addr: 0x200e20000
2016/06/16 05:51:50.106187:						   CCU1 virt addr: 0xfffffff01e838000, phys addr: 0x200e90000
2016/06/16 05:51:50.121978:	AppleS5L8920XPWM::start: _pwmBaseAddress: 0xfffffff01e858000
2016/06/16 05:51:50.127193:	AppleS8000AES::start: registers at phys:0x0x20a108000/0x0x2102d0000 virt:0x0xfffffff01e868000/0x0x4000 / 0x0xfffffff01e878000/0x0x4000
2016/06/16 05:51:50.141469:	AppleS8000AES::start: aes-version: 2
2016/06/16 05:51:50.150754:	AppleS8000AES::start: using-acg: no
2016/06/16 05:51:50.156404:	AppleS5L8960XGPIOIC::start: this: 0xfffffff0026c7200, _gpioicBaseAddress: 0xfffffff01e898000
2016/06/16 05:51:50.208916:	AppleSamsungSPIController::start: spi1: _spiBaseAddress = 0x20a084000:0xfffffff01e8a8000, _spiVersion = 1 _spiInternalCS = 0
2016/06/16 05:51:50.224156:	AppleSamsungSPIController::start: spi2: _spiBaseAddress = 0x20a088000:0xfffffff01e8b8000, _spiVersion = 1 _spiInternalCS = 0
2016/06/16 05:51:50.238184:	AppleSamsungSPIController::start: spi3: _spiBaseAddress = 0x20a08c000:0xfffffff01e8c8000, _spiVersion = 1 _spiInternalCS = 0
2016/06/16 05:51:50.239044:	AppleARMIICController::start buffer=0xfffffff0026eb900 entries=8
2016/06/16 05:51:50.255742:	AppleS5L8940XI2CController::start: i2c0 this: 0xfffffff002701600 _i2cBaseAddress: 0xfffffff01e8d8000
2016/06/16 05:51:50.256691:	AppleARMIICController::start buffer=0xfffffff0026e8100 entries=8
2016/06/16 05:51:50.271203:	AppleS5L8940XI2CController::start: i2c1 this: 0xfffffff002701200 _i2cBaseAddress: 0xfffffff01e8e9000
2016/06/16 05:51:50.287983:	AppleARMIICController::start buffer=0xfffffff0026ebd00 entries=8
2016/06/16 05:51:50.288941:	AppleS5L8940XI2CController::start: i2c2 this: 0xfffffff002702e00 _i2cBaseAddress: 0xfffffff01e8fa000
2016/06/16 05:51:50.309243:	AppleARMIICController::start buffer=0xfffffff0026ebf80 entries=8
2016/06/16 05:51:50.314764:	AppleS5L8940XI2CController::start: i2c3 this: 0xfffffff002703000 _i2cBaseAddress: 0xfffffff01e90b000
2016/06/16 05:51:50.325978:	AppleS5L8960XUSBPhy::start: hsic disabled
2016/06/16 05:51:50.354903:	AppleSynopsysMIPIDSIController::start: _dsimBaseAddress = 0xfffffff0202d0000 physical = 0x206600000 length 1048576
2016/06/16 05:51:50.429261:	AppleKeyStore::start(IOResources) <1>
2016/06/16 05:51:50.462695:	AppleS8000DWI::start v1 _dwiBaseAddress: 0xfffffff01e848000, buck mask = 0x00000000
2016/06/16 05:51:50.483153:	virtual bool AppleSynopsysMIPIDSIController::start(IOService *)  Slow Adaptive Clocking enabled with 11 frequencies
2016/06/16 05:51:50.494792:	AppleARM64ErrorHandler: will panic on correctible ECC errors
2016/06/16 05:51:50.495872:	cpu_start() cpu: 0
2016/06/16 05:51:50.496621:	AppleARMBacklight::start: _calibratedMinCurrent=100 uA
2016/06/16 05:51:50.509793:	AppleARMBacklight::start: _lMaxProduct=36044800, _lMidProduct=10158080, _lMinProduct=180224, _lMaxPanel=36044799, _lMidPanel=9876755, _lMinPanel=145381, _milliAmps2NitsScaleFactor=538448
2016/06/16 05:51:50.525283:	AppleARMBacklight::start: _minDACLevel=227 _maxDACLevel=1981
2016/06/16 05:51:50.525784:	AppleKeyStore starting (BUILT: Jun  1 2016 01:18:31)
2016/06/16 05:51:50.526450:	AppleCredentialManager::start called
2016/06/16 05:51:50.541821:	ApplePMGRToolsKernelFunction KernelClient starting build date Jun  1 2016 time 01:09:34
2016/06/16 05:51:50.549188:	(dart-disp0) AppleS5L8960X
2016/06/16 05:51:50.559224:	DART::start: DART state capture 0xfffffff00274de00
2016/06/16 05:51:50.559849:	ApplePMGRToolsKernelFunction starting build date Jun  1 2016 time 01:09:34
2016/06/16 05:51:50.573019:	(dart-scaler) AppleS5L8960XDART::start: DART state capture 0xfffffff00274e700
2016/06/16 05:51:50.589887:	cpu_start() cpu: 1
2016/06/16 05:51:50.590824:	arm_cpu_init(): cpu 1 online
2016/06/16 05:51:50.606480:	AppleSamsungSerial: Identified Serial Port on ARM Device=uart0 at 0x20a0c0000(0xfffffff01f768000)
2016/06/16 05:51:50.607290:	AppleA7IOPNub: withRegistryEntry, 47: allocated nub 0xfffffff0024d3d40
2016/06/16 05:51:50.607976:	AppleA7IOPNub: withRegistryEntry, 47: allocated nub 0xfffffff0024d01e0
2016/06/16 05:51:50.608585:	
2016/06/16 05:51:50.621299:	AppleA7IOPNub: withRegistryEntry, 47: allocated nub 0xfffffff0024d0280
2016/06/16 05:51:50.621957:	
2016/06/16 05:51:50.622550:	
2016/06/16 05:51:50.623512:	AppleSamsungSerial: Identified Serial Port on ARM Device=uart6 at 0x20a0d8000(0xfffffff01f758000)
2016/06/16 05:51:50.640255:	AppleA7IOPNub: withRegistryEntry, 47: allocated nub 0xfffffff0024d03c0
2016/06/16 05:51:50.641920:	AppleH9(CdaarmtIn-:s:casltearr)t 
2016/06/16 05:51:50.654552:	AppleS5L8960XDART::_dartSetupSMMUIfPresApepnlt:e SSamMsMuU nsgtSeartie acla: pItdureen ti0fxfieffdf fSefrfi00a2l7 P8odr80t0 
2016/06/16 05:51:50.655695:	on ARM Device=uart5 at 0x20a0d4000(0xfffffff01f778000)
2016/06/16 05:51:50.657015:	
2016/06/16 05:51:50.669843:	(dart-disp0) AppleS5L8960XDART::_dartSetupSMMUIfPresent: SMMU state capture 0xfffffff00278d400
2016/06/16 05:51:50.670224:	(dart-isp) AppleS5L8960XDART::start: DART state capture 0xfffffff00279a200
2016/06/16 05:51:50.686708:	AppleS5L8960XWatchDogTimer::start: _wdtBaseAddress: 0xfffffff01e7d8000 _wdtResetCount=0xe4e1c00
2016/06/16 05:51:50.687197:	(dart-isp) AppleS5L8960XDART::_dartSetupSMMUIfPresent: SMMU state capture 0xfffffff00278ec00
2016/06/16 05:51:50.702717:	(dart-jpeg1) AppleS5L8960XDART::start: DART state capture 0x+ ffAVfEf:ff fs0ta0r2t79 a(3pr0o0v
2016/06/16 05:51:50.703454:	ider 0xfffffff002661c00)
2016/06/16 05:51:50.704165:	+ AVE: compiled on Jun  1 2016 01:33:33
2016/06/16 05:51:50.721746:	+ AVE:A mpp_RleegDiissptelraMyPeMmUor:y:MstaaprAVtE:[ d0xifsfplfafyff-fp0mu0 2_78pbmeuI0I0C]:N uvb:  ad0dxrff f=f 0fxfff0f0f2ff4fdf050a2003 eb0ui0l0t0  p0h1: 0a8dr: 5=6  J0ux2n0 7 1d 020000106
2016/06/16 05:51:50.722845:	
2016/06/16 05:51:50.735634:	+ AVE: m_RegisterMemoryMapKF[0xfffffff002788000]: v addr = 0xfffffff0206e0000 ph adr = 0x207c80000
2016/06/16 05:51:50.750227:	+ AVE: m_RegisterMemoryMapSVE[0xfffffff0027bda00]: v addr = 0xfffffff01f7d8000 ph adr = 0x207cc0000
2016/06/16 05:51:50.751357:	+ AVE: m_RegisterMemoryMapPMGR[0xfffffff0027bde00]: v addr = 0xfffffff01f7f8000 ph adr = 0x20e088000
2016/06/16 05:51:50.822170:	AppleNVMeMMU:47 Starting nvme-mmu0 (0xfffffff0027ce200)
2016/06/16 05:51:50.830619:	(dart-apcie2) AppleS5L8960XDART::start: DART state capture 0xfffffff002798200
2016/06/16 05:51:50.838352:	AppleNVMeMMU:96 Mapped registers 0x0000000601004000 at 0xfffffff01f858000
2016/06/16 05:51:50.848555:	(dart-apcie3) AppleS5L8960XDART::start: DART state capture 0xfffffff00279bf00
2016/06/16 05:51:50.857761:	AppleNVMeMMU:146 Allocated SGLs at virtual 0xfffffff020760000 physical 0x000000080af14000
2016/06/16 05:51:50.863822:	(dart-apcie1) AppleS5L8960XDART::start: DART state capture 0xfffffff00237b100
2016/06/16 05:51:50.872418:	AppleNVMeMMU:243 Setting up TCBs at virtual 0xfffffff01f878000 physical 0x000000080100c000
2016/06/16 05:51:50.874127:	(dart-apcie0) AppleS5L8960XDART::start: DART state capture 0xfffffff00237b200
2016/06/16 05:51:50.877678:	AppleNAVppMleeMMEUm:be2d83d eddPoCnIeE
2016/06/16 05:51:50.892319:	::start this = 0xfffffff0027cde00, gAPCIEdebugFlags = 0x80000001
2016/06/16 05:51:50.896372:	virtual bool AppleARMLightEmUp::start(IOService *): starting...
2016/06/16 05:51:50.931348:	AppleSocHot::start _tempApSpelnseoTr80S1o0chCoohteDrebeungceHPaockiEnntTarbalecde
2016/06/16 05:51:50.938148:	::start this=0xfffffff0027f4c00
2016/06/16 05:51:50.943751:	AppleDieTempController::start: 
2016/06/16 05:51:51.024890:	APPLEVXD: AppleD5500::start() - m_pMemBaseRegPhysical=208100000, m_pMemBaseRegVirtual = 217dc000
2016/06/16 05:51:51.055441:	kpc: pm registered pmc_mask=38 custom_config=1
2016/06/16 05:51:51.088934:	APPLEVXD: start: AppleD5500[0xfffffff00282c000]::start(provider 0xfffffff002662000) initFairPlayServiceReference ... DONE
2016/06/16 05:51:51.090048:	
2016/06/16 05:51:51.103358:	APPLEVXD: start: AppleD5500[0xfffffff00282c000]::start(provider 0xfffffff002662000) initKeyDeliveryIOKitServiceReference ... DONE
2016/06/16 05:51:51.104380:	
2016/06/16 05:51:51.105804:	APPLEVXD: start: AppleD5500[0xfffffff00282c000]::start(provider 0xfffffff002662000) initKeyDeliveryIOKitMSEServiceReference ... DONE
2016/06/16 05:51:51.107406:	
2016/06/16 05:51:51.136096:	AppleVirtualMCA::probe: provider 0xfffffff00285a700
2016/06/16 05:51:51.137736:	AppleVirtualMCA::probe: provider "virtual-mca1"
2016/06/16 05:51:51.150757:	AppleVirtualMCA::probe: rv 0xfffffff00285a800
2016/06/16 05:51:51.151673:	AppleVirtualMCAController::withRegistryEntry:445: vMCACtlr 0xfffffff002854e00
2016/06/16 05:51:51.166199:	AppleVirtualMCAController:initWithRegistryEntry:459: this 0xfffffff002854e00, provider 0xfffffff00285a800, class is "AppleVirtualMCA", from 0xfffffff002426d00, class is "IOService"
2016/06/16 05:51:51.221455:	Couldn't alloc class "AppleSmartIOAESAccelerator"
2016/06/16 05:51:51.250936:	virtual bool AppleSEPManager::start(IOService *): 
2016/06/16 05:51:51.257516:	virtual bool AppleSEPManager::start(IOService *): SEP memory IS coherent
2016/06/16 05:51:51.281297:	RTBuddy(PMP): start(0xfffffff0028c6000) - (Jun  8 2016@00:17:58)
2016/06/16 05:51:51.299413:	AppleSPUTimesyncV2::probe(iop-aop-nub)
2016/06/16 05:51:51.310405:	RTBuddy(AOP): start(0xfffffff0028c5e00) - (Jun  8 2016@00:17:58)
2016/06/16 05:51:51.346185:	AppleD2333PMU::start: pmu _pmuIICNub: 0xfffffff0024d0320 built 01:18:59 Jun  1 2016
2016/06/16 05:51:51.367195:	virtual bool AppleSEPManager::start(IOService *): control endpoints created
2016/06/16 05:51:51.375675:	AppleAD81006:: ApIp2Cl eSRPegUiTismteersy(n0xc1V24:) :rsteaadr t(fiaiolp-ead o(p-0nxeu0b)0 00<12e>9
2016/06/16 05:51:51.384514:	:device error) 
2016/06/16 05:51:51.390413:	pci (build 00:58:24 Jun  1 2016), flags 0xe3018
2016/06/16 05:51:51.396139:	vpicrtiu (abl ubilodol  00A:pp5l8:e2S4EP JMaunn a ge1r 2:0:s1t6)a,rt (flIaOSges r0vixce3e0 *1)8
2016/06/16 05:51:51.397028:	: registered
2016/06/16 05:51:51.411786:	[ PCI configuration begin ]
2016/06/16 05:51:51.412491:	AppleAD81006::start Did not receive POR. POR_Status=0x0 
2016/06/16 05:51:51.417213:	IOReturn AppleSEPManager::_setPowerState(unsigned long *): power state 0 -> 1
